pick,tools,nonliving,thesis_stim/pick_exemplar1.jpg,0.586207,old,0.009299981
stork,birds,living,thesis_stim/stork_exemplar1.jpg,0.793103,old,0.010887103
wetsuit,clothing,nonliving,thesis_stim/wetsuit_exemplar1.jpg,0.326531,old,0.011101774
cooler,kitchen_items,nonliving,thesis_stim/cooler_exemplar1.jpg,0.2,old,0.011582052
tricycle,vehicle,nonliving,thesis_stim/tricycle_exemplar1.jpg,0.34,old,0.018415674
musical keyboard,music_inst,nonliving,thesis_stim/musical_keyboard_exemplar1.jpg,0.563636,old,0.021419272
drum set,music_inst,nonliving,thesis_stim/drum_set_exemplar1.jpg,0.583333,old,0.026698887
key,household_items,nonliving,thesis_stim/key_exemplar1.jpg,0.46,old,0.027872775
tour bus,vehicle,nonliving,thesis_stim/tour_bus_exemplar1.jpg,0.755556,old,0.030521469
blender,appliances,nonliving,thesis_stim/blender_exemplar1.jpg,0.413793,old,0.037386206
barn,building,nonliving,thesis_stim/barn_exemplar1.jpg,0.5,old,0.040009202
dice,sports,nonliving,thesis_stim/dice_exemplar1.jpg,0.56,new,0.041287638
fire station,building,nonliving,thesis_stim/fire_station_exemplar1.jpg,0.485714,old,0.042952071
ostrich,birds,living,thesis_stim/ostrich_exemplar1.jpg,0.842105,new,0.043483134
diploma,office_supplies,nonliving,thesis_stim/diploma_exemplar1.jpg,0.423077,old,0.048119787
picnic table,street_items,nonliving,thesis_stim/picnic_table_exemplar1.jpg,0.574074,old,0.049525543
table saw,appliances,nonliving,thesis_stim/table_saw_exemplar1.jpg,0.44898,old,0.050939581
refrigerator,appliances,nonliving,thesis_stim/refrigerator_exemplar1.jpg,0.607143,old,0.051600239
eagle,birds,living,thesis_stim/eagle_exemplar1.jpg,0.78,new,0.052520608
hunting bow,sports,nonliving,thesis_stim/hunting_bow_exemplar1.jpg,0.607143,old,0.053980811
office building,building,nonliving,thesis_stim/office_building_exemplar1.jpg,0.551724,old,0.054421863
elliptical,sports,nonliving,thesis_stim/elliptical_exemplar1.jpg,0.428571,old,0.054662718
breadbox,kitchen_items,nonliving,thesis_stim/breadbox_exemplar1.jpg,0.422222,old,0.058128729
space shuttle,vehicle,nonliving,thesis_stim/space_shuttle_exemplar1.jpg,0.557692,old,0.059110837
washboard,tools,nonliving,thesis_stim/washboard_exemplar1.jpg,0.367347,old,0.060504088
taxi,vehicle,nonliving,thesis_stim/taxi_exemplar1.jpg,0.285714,old,0.061373827
sailor hat,clothing,nonliving,thesis_stim/sailor_hat_exemplar1.jpg,0.4,new,0.065725646
flying insect,insect,living,thesis_stim/flying_insect_exemplar1.jpg,0.8,old,0.066584477
biplane,vehicle,nonliving,thesis_stim/biplane_exemplar1.jpg,0.46,old,0.068091486
rock-climbing shoe,clothing,nonliving,thesis_stim/rock-climbing_shoe_exemplar1.jpg,0.371429,new,0.068473227
cap,clothing,nonliving,thesis_stim/cap_exemplar1.jpg,0.408163,old,0.069923813
grater,kitchen_items,nonliving,thesis_stim/grater_exemplar1.jpg,0.555556,old,0.072597977
dragonfly,insect,living,thesis_stim/dragonfly_exemplar1.jpg,0.75,old,0.075736081
owl,birds,living,thesis_stim/owl_exemplar1.jpg,0.816327,new,0.076088753
guardrail,street_items,nonliving,thesis_stim/guardrail_exemplar1.jpg,0.428571,old,0.078483867
magnifying glass,office_supplies,nonliving,thesis_stim/magnifyingglass_exemplar1.jpg,0.466666667,old,0.079393209
flamingo,birds,living,thesis_stim/flamingo_exemplar1.jpg,0.857143,new,0.086374693
harp,music_inst,nonliving,thesis_stim/harp_exemplar1.jpg,0.6,old,0.088922724
wristwatch,clothing,nonliving,thesis_stim/wristwatch_exemplar1.jpg,0.436364,old,0.091431047
fountain,street_items,nonliving,thesis_stim/fountain_exemplar1.jpg,0.618182,new,0.093423195
armoire,furniture,nonliving,thesis_stim/armoire_exemplar1.jpg,0.517241,old,0.093543123
scoop,household_items,nonliving,thesis_stim/scoop_exemplar1.jpg,0.586207,new,0.095218958
moose,mammal,living,thesis_stim/moose_exemplar1.jpg,0.666667,new,0.095512245
covered wagon,vehicle,nonliving,thesis_stim/covered_wagon_exemplar1.jpg,0.37931,old,0.098347198
toaster,appliances,nonliving,thesis_stim/toaster_exemplar1.jpg,0.381818,old,0.099117868
weight bench,sports,nonliving,thesis_stim/weight_bench_exemplar1.jpg,0.545455,old,0.099588499
baking pan,kitchen_items,nonliving,thesis_stim/baking_pan_exemplar1.jpg,0.4,new,0.100412736
measuring tape,tools,nonliving,thesis_stim/measuring_tape_exemplar1.jpg,0.344828,old,0.103819611
bathtub,furniture,nonliving,thesis_stim/bathtub_exemplar1.jpg,0.527778,old,0.104294317
metronome,music_inst,nonliving,thesis_stim/metronome_exemplar1.jpg,0.571429,old,0.104558957
purse,clothing,nonliving,thesis_stim/purse_exemplar1.jpg,0.25,old,0.105213387
crayon,toys,nonliving,thesis_stim/crayon_exemplar1.jpg,0.48,new,0.105428611
toilet,furniture,nonliving,thesis_stim/toilet_exemplar1.jpg,0.609756,old,0.109151471
penguin,birds,living,thesis_stim/penguin_exemplar1.jpg,0.821429,old,0.114810571
squid,sea,living,thesis_stim/squid_exemplar1.jpg,0.571429,old,0.114877779
cigar,household_items,nonliving,thesis_stim/cigar_exemplar1.jpg,0.625,new,0.125401663
kettle,kitchen_items,nonliving,thesis_stim/kettle_exemplar1.jpg,0.413793,old,0.12680661
polaroid,electronics,nonliving,thesis_stim/polaroid_exemplar1.jpg,0.407407,old,0.133217177
muffin tin,kitchen_items,nonliving,thesis_stim/muffin_tin_exemplar1.jpg,0.48,old,0.134704628
fire hydrant,street_items,nonliving,thesis_stim/fire_hydrant_exemplar1.jpg,0.42,new,0.142842225
battery,electronics,nonliving,thesis_stim/battery_exemplar1.jpg,0.38,old,0.147510953
grandfather clock,furniture,nonliving,thesis_stim/grandfather_clock_exemplar1.jpg,0.444444,new,0.153595284
banjo,music_inst,nonliving,thesis_stim/banjo_exemplar1.jpg,0.241379,old,0.162656642
headphone,electronics,nonliving,thesis_stim/headphone_exemplar1.jpg,0.535714,old,0.165004221
bulldog,mammal,living,thesis_stim/bulldog_exemplar1.jpg,0.773585,old,0.170077255
recorder,music_inst,nonliving,thesis_stim/recorder_exemplar1.jpg,0.38,old,0.170614177
chainsaw,appliances,nonliving,thesis_stim/chainsaw_exemplar1.jpg,0.527273,old,0.171729778
lamborghini,vehicle,nonliving,thesis_stim/lamborghini_exemplar1.jpg,0.32,old,0.173030958
skirt,clothing,nonliving,thesis_stim/skirt_exemplar1.jpg,0.454545,old,0.173145911
sand bucket,toys,nonliving,thesis_stim/sand_bucket_exemplar1.jpg,0.38,old,0.180704917
merry-go-round,building,nonliving,thesis_stim/merry-go-round_exemplar1.jpg,0.938776,new,0.182826102
fan,appliances,nonliving,thesis_stim/fan_exemplar1.jpg,0.555556,old,0.183794736
geode,decor,nonliving,thesis_stim/geode_exemplar1.jpg,0.814815,old,0.188539469
money,household_items,nonliving,thesis_stim/money_exemplar1.jpg,0.653061,old,0.191607545
shopping bag,tools,nonliving,thesis_stim/shopping_bag_exemplar1.jpg,0.326531,old,0.196095738
wheelbarrow,tools,nonliving,thesis_stim/wheelbarrow_exemplar1.jpg,0.607143,old,0.197862926
clamp,tools,nonliving,thesis_stim/clamp_exemplar1.jpg,0.5,old,0.204334324
